Client,Team,Level,Date,Location,Time (Local time),Opponent,Ballpark,bg_accuracy
Garrett Whitlock,Team USA,Pro,3/3/26,"Scottsdale, AZ",3:05 PM,San Francisco Giants (Exh.),Scottsdale Stadium,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/4/26,"Scottsdale, AZ",3:10 PM,Colorado Rockies (Exh.),Salt River Fields at Talking Stick,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/6/26,"Houston, TX",8:00 PM,Brazil,Daikin Park,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/7/26,"Houston, TX",8:00 PM,Great Britain,Daikin Park,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/9/26,"Houston, TX",8:00 PM,Mexico,Daikin Park,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/10/26,"Houston, TX",9:00 PM,Italy,Daikin Park,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/13/26,"Houston, TX",TBD,TBD (Quarterfinals),Daikin Park,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/15/26,"Miami, FL",8:00 PM,TBD (Semifinals - or Mar 16),loanDepot park,APPROXIMATE
Garrett Whitlock,Team USA,Pro,3/17/26,"Miami, FL",8:00 PM,TBD (Finals),loanDepot park,APPROXIMATE
Najer Victor,Team Great Britain,Pro,3/3/26,"Phoenix, AZ",3:10 PM,Milwaukee Brewers (Exh.),American Family Fields of Phoenix,APPROXIMATE
Najer Victor,Team Great Britain,Pro,3/4/26,"Peoria, AZ",3:10 PM,San Diego Padres (Exh.),Peoria Stadium,APPROXIMATE
Najer Victor,Team Great Britain,Pro,3/6/26,"Houston, TX",1:00 PM,Mexico,Daikin Park,APPROXIMATE
Najer Victor,Team Great Britain,Pro,3/7/26,"Houston, TX",8:00 PM,United States,Daikin Park,APPROXIMATE
Najer Victor,Team Great Britain,Pro,3/8/26,"Houston, TX",1:00 PM,Italy,Daikin Park,APPROXIMATE
Najer Victor,Team Great Britain,Pro,3/9/26,"Houston, TX",1:00 PM,Brazil,Daikin Park,APPROXIMATE
Adam McKelvey,Georgia Tech,NCAA,2/13/26,"Atlanta, GA",4:00 PM,Bowling Green,Russ Chandler Stadium,APPROXIMATE
Adam McKelvey,Georgia Tech,NCAA,2/14/26,"Atlanta, GA",2:00 PM,Bowling Green,Russ Chandler Stadium,APPROXIMATE
